TransactionID,Date,CustomerID,Amount
1001,2024-05-01,2001,150.00
1002,2024-05-02,2002,200.50
1003,2024-05-02,2003,300.75
1004,2024-05-03,2001,120.00
1005,2024-05-05,2004,450.25
1006,2024-05-05,2005,500.00
1007,2024-05-07,2002,250.00
1008,2024-06-01,2006,220.50
1009,2024-06-02,2001,300.00
1010,2024-06-05,2003,180.00
1011,2024-06-10,2004,350.50
1012,2024-07-03,2005,275.25
1013,2024-07-07,2002,425.00
1014,2024-07-10,2003,500.00
1015,2024-07-15,2001,600.00
1016,2024-08-01,2002,150.75
1017,2024-08-05,2004,200.50
1018,2024-08-08,2006,120.00
1019,2024-08-15,2003,250.25
1020,2024-09-01,2005,400.00
1021,2024-09-04,2001,500.00
1022,2024-09-07,2002,300.00
1023,2024-09-10,2004,450.00
1024,2024-10-01,2001,350.00
1025,2024-10-04,2006,150.00
1026,2024-10-07,2005,500.75
1027,2024-10-10,2002,600.25
1028,2024-10-15,2003,700.50
1029,2024-10-20,2004,400.75
